sequence,valid_speed_count,excluded_pair_count,min_speed_px_s,max_speed_px_s,range_width_px_s,zero_speed_count,min_occurrences,max_occurrences,min_prev_filename,min_filename,max_prev_filename,max_filename
GAREUD_R_000001,8640,644,0.000,954.143,954.143,4,4,1,1418.004202432.jpg,1418.037547488.jpg,1668.461742104.jpg,1668.495087352.jpg
GAREUD_R_000002,13937,460,0.000,807.269,807.269,8,8,1,1848.312494512.jpg,1848.345839592.jpg,2071.960307024.jpg,2071.993651864.jpg
GAREUD_R_000003,23924,1678,0.000,892.830,892.830,4,4,1,2487.194050568.jpg,2487.227396272.jpg,2572.024829624.jpg,2572.058175272.jpg
GAREUD_R_000004,15967,719,0.000,1342.212,1342.212,29,29,1,3852.478727080.jpg,3852.512072544.jpg,4043.548052568.jpg,4043.581398352.jpg
GAREUD_R_000005,3879,137,2.943,625.111,622.168,0,1,1,4827.033678512.jpg,4827.067023592.jpg,4893.357742104.jpg,4893.391087544.jpg
GAREUD_R_000006,303,128,0.000,491.403,491.403,1,1,1,5063.742275352.jpg,5063.775620240.jpg,5060.707840592.jpg,5060.741186328.jpg
GAREUD_R_000007,1556,195,0.000,515.210,515.210,1,1,1,5136.144609568.jpg,5136.177955568.jpg,5150.616527024.jpg,5150.649872976.jpg
GAREUD_R_000008,6753,203,0.000,1059.566,1059.566,2,2,1,5407.027201592.jpg,5407.060546760.jpg,5517.200509408.jpg,5517.233854160.jpg
GAREUD_R_000009,16873,421,0.000,992.094,992.094,7,7,1,139.630287488.jpg,139.663632352.jpg,553.013607592.jpg,553.046953624.jpg
GAREUD_R_000010,2451,130,4.018,1423.813,1419.795,0,1,1,1034.978303512.jpg,1035.011648104.jpg,985.126882568.jpg,985.160227624.jpg
GAREUD_R_000011,5853,2,0.000,991.049,991.049,1,1,1,125.665573592.jpg,125.698919568.jpg,299.428620488.jpg,299.461965432.jpg
GAREUD_R_000012,4395,0,3.644,1109.783,1106.139,0,1,1,422.380002592.jpg,422.413348296.jpg,374.495962160.jpg,374.529307592.jpg
GAREUD_R_000013,4408,89,0.000,2329.969,2329.969,1,1,1,543.273040592.jpg,543.306385624.jpg,539.271588488.jpg,539.304933624.jpg
GAREUD_R_000014,8334,214,0.000,1011.857,1011.857,1,1,1,911.886780488.jpg,911.920125512.jpg,994.916906024.jpg,994.950251592.jpg
